0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:52:21 +0900] "GET /bada_admin/board_manage/noti_faq_view.do?category=notice&id=121 HTTP/1.1" 200 10317
0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:52:23 +0900] "GET /bada_admin/board_manage/noti_faq_view.do?category=notice&id=120 HTTP/1.1" 200 10374
0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:52:30 +0900] "GET /bada_admin/board_manage/qna_list.do HTTP/1.1" 200 18583
0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:52:32 +0900] "GET /bada_admin/board_manage/qna_view.do?id=109 HTTP/1.1" 200 10170
0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:52:35 +0900] "GET /bada_admin/board_manage/noti_faq_list.do?category=faq HTTP/1.1" 200 16224
0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:52:37 +0900] "GET /bada_admin/board_manage/noti_faq_view.do?category=faq&id=225 HTTP/1.1" 200 10299
0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:52:58 +0900] "GET /bada_admin/board_manage/noti_faq_view.do?category=faq&id=225 HTTP/1.1" 200 10299
0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:52:58 +0900] "GET /bada_admin/assets/css/sweetalert.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:52:58 +0900] "GET /bada_admin/assets/css/common_admin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:52:58 +0900] "GET /bada_admin/assets/js/sweetalert.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:52:58 +0900] "GET /bada_admin/assets/js/daumPostCode.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:53:01 +0900] "GET /bada_admin/board_manage/noti_faq_update.do?category=faq&id=225 HTTP/1.1" 200 10331
0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:53:10 +0900] "GET /bada_admin/board_manage/noti_faq_view.do?category=faq&id=223 HTTP/1.1" 200 10380
